species_value,species_display
unknown,unknown
other,other
blackbird sp.,blackbird sp.
finch sp.,finch sp.
flycatcher sp.,flycatcher sp.
gull sp.,gull sp.
hawk sp.,hawk sp.
hummingbird sp.,hummingbird sp.
kinglet sp.,kinglet sp.
owl sp.,owl sp.
shorebird sp.,shorebird sp.
sparrow sp.,sparrow sp.
thrush sp.,thrush sp.
warbler sp.,warbler sp.
waterfowl sp.,waterfowl sp.
woodpecker sp.,woodpecker sp.
wren sp.,wren sp.
American Coot,American Coot
American Crow,American Crow
American Goldfinch,American Goldfinch
American Kestrel,American Kestrel
American Pipit,American Pipit
American Redstart,American Redstart
American Robin,American Robin
American Woodcock,American Woodcock
Baltimore Oriole,Baltimore Oriole
Bank Swallow,Bank Swallow
Barn Swallow,Barn Swallow
Barred Owl,Barred Owl
Bay-breasted Warbler,Bay-breasted Warbler
Belted Kingfisher,Belted Kingfisher
Black-and-white Warbler,Black-and-white Warbler
Black-billed Cuckoo,Black-billed Cuckoo
Blackburnian Warbler,Blackburnian Warbler
Blackpoll Warbler,Blackpoll Warbler
Black-throated Blue Warbler,Black-throated Blue Warbler
Black-throated Green Warbler,Black-throated Green Warbler
Blue Grosbeak,Blue Grosbeak
Blue Jay,Blue Jay
Blue-gray Gnatcatcher,Blue-gray Gnatcatcher
Blue-headed Vireo,Blue-headed Vireo
Blue-winged Warbler,Blue-winged Warbler
Bobolink,Bobolink
Bonapartes Gull,Bonaparte&#39;s Gull
Broad-winged Hawk,Broad-winged Hawk
Brown Creeper,Brown Creeper
Brown Thrasher,Brown Thrasher
Brown-headed Cowbird,Brown-headed Cowbird
Brown-headed Nuthatch,Brown-headed Nuthatch
Canada Warbler,Canada Warbler
Cape May Warbler,Cape May Warbler
Carolina Chickadee,Carolina Chickadee
Carolina Wren,Carolina Wren
Cedar Waxwing,Cedar Waxwing
Cerulean Warbler,Cerulean Warbler
Chestnut-sided Warbler,Chestnut-sided Warbler
Chimney Swift,Chimney Swift
Chipping Sparrow,Chipping Sparrow
Chuck-wills-widow,Chuck-will&#39;s-widow
Cliff Swallow,Cliff Swallow
Common Grackle,Common Grackle
Common Nighthawk,Common Nighthawk
Common Yellowthroat,Common Yellowthroat
Connecticut Warbler,Connecticut Warbler
Coopers Hawk,Cooper&#39;s Hawk
Dark-eyed Junco,Dark-eyed Junco
Downy Woodpecker,Downy Woodpecker
Eastern Bluebird,Eastern Bluebird
Eastern Kingbird,Eastern Kingbird
Eastern Meadowlark,Eastern Meadowlark
Eastern Phoebe,Eastern Phoebe
